Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA _TakeOn,SCA_Sh,SCA _FoulsDrawn,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TakeOn,GCA_Shot,GCA_FoulsDrawn,GCA_DefAct
2183,2183,Aaron Ramsey (Burnley),ENG,"MF,FW",Burnley,Premier League,20,2003,5.9,26,26,30,0,0,0,0,0,0,0,0,0,0,0,0,0
2184,2184,Jacob Ramsey (Aston Villa),ENG,"FW,MF",Aston Villa,Premier League,22,2001,9.5,63,76,65,74,53,61,0,69,61,77,59,90,0,0,0,0
2185,2185,Luca Ranieri (Fiorentina),ITA,DF,Fiorentina,Serie A,24,1999,22.9,55,28,59,59,0,61,0,0,51,43,40,90,0,0,0,0
2186,2186,Filippo Ranocchia (Empoli),ITA,"MF,DF",Empoli,Serie A,22,2001,5.3,33,39,33,74,0,0,0,0,0,0,0,0,0,0,0,0
2187,2187,Grant Ranos (Gladbach),ARM,"MF,FW",Gladbach,Bundesliga,20,2003,0.5,16,84,19,0,0,0,0,0,35,99,40,0,0,0,0,0
2188,2188,Raphinha (Barcelona),BRA,"FW,MF",Barcelona,La Liga,26,1996,15.2,94,97,87,96,92,96,97,69,96,97,95,98,0,-80,0,0
2189,2189,Nicolai Rapp (Werder Bremen),GER,DF,Werder Bremen,Bundesliga,26,1996,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,2190,Elba Rashani (Clermont Foot),KVX,"MF,FW",Clermont Foot,Ligue 1,30,1993,13.1,63,57,63,0,53,61,81,69,51,53,40,0,0,0,85,0
2191,2191,Marcus Rashford (Manchester Utd),ENG,FW,Manchester Utd,Premier League,25,1997,25.2,94,82,92,59,99,94,94,0,95,88,96,0,87,0,85,0
2192,2192,Giacomo Raspadori (Napoli),ITA,"FW,MF",Napoli,Serie A,23,2000,17.6,91,91,89,93,85,94,81,69,61,57,70,0,0,0,0,0
2193,2193,Andrei Ratiu (Rayo Vallecano),ROU,"DF,MF",Rayo Vallecano,La Liga,25,1998,7,39,40,43,0,0,0,0,69,0,0,0,0,0,0,0,0
2194,2194,Raúl (Osasuna),ESP,FW,Osasuna,La Liga,22,2000,15.1,55,38,54,0,0,81,71,0,51,50,59,0,0,0,0,0
2195,2195,David Raum (RB Leipzig),GER,DF,RB Leipzig,Bundesliga,25,1998,30.4,96,80,93,99,92,43,53,0,96,85,85,100,96,0,0,0
2196,2196,Federico Ravaglia (Bologna),ITA,GK,Bologna,Serie A,23,1999,5.9,11,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,2197,David Raya (Arsenal),ESP,GK,Arsenal,Premier League,27,1995,32,23,12,24,59,0,0,0,0,0,0,0,0,0,0,0,0
2198,2198,Tim Ream (Fulham),USA,DF,Fulham,Premier League,35,1987,16.7,38,20,41,59,0,0,0,0,35,39,40,0,0,0,0,0
2199,2199,Abderrahman Rebbach (Alavés),ALG,"FW,MF",Alavés,La Liga,24,1998,8,63,84,52,90,85,61,53,0,0,0,0,0,0,0,0,0
2200,2200,Nathan Redmond (Burnley),ENG,"FW,MF",Burnley,Premier League,29,1994,1.6,33,95,33,0,53,0,53,0,35,94,40,0,0,0,0,0
2201,2201,Harrison Reed (Fulham),ENG,MF,Fulham,Premier League,28,1995,14.7,63,50,67,81,0,0,53,0,77,78,70,96,0,0,0,0
2202,2202,Sergio Reguilón (Manchester Utd),ESP,DF,Manchester Utd,Premier League,26,1996,4.6,46,79,49,59,0,43,0,0,35,64,40,0,0,0,0,0
2203,2203,Sergio Reguilón (Brentford),ESP,DF,Brentford,Premier League,26,1996,12.4,69,71,60,93,53,61,53,0,82,88,59,96,0,-95,0,0
2204,2204,Bobby Reid (Fulham),JAM,FW,Fulham,Premier League,30,1993,15.8,69,56,73,0,53,73,0,88,71,68,70,0,0,0,0,96
2205,2205,Tijjani Reijnders (Milan),NED,MF,Milan,Serie A,25,1998,31.3,99,90,99,93,98,81,53,96,99,92,100,0,96,0,0,0
2206,2206,Pepe Reina (Villarreal),ESP,GK,Villarreal,La Liga,40,1982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,2207,Reinier (Frosinone),BRA,"MF,FW",Frosinone,Serie A,21,2002,11.8,68,73,75,81,0,0,0,0,77,85,85,0,0,0,0,0
2208,2208,Rocco Reitz (Gladbach),GER,MF,Gladbach,Bundesliga,21,2002,23.7,87,68,84,0,94,87,87,99,88,78,85,0,96,0,0,96
2209,2209,Álex Remiro (Real Sociedad),ESP,GK,Real Sociedad,La Liga,28,1995,36.4,28,13,24,81,0,0,0,0,0,0,0,0,0,0,0,0
2210,2210,Guillaume Restes (Toulouse),FRA,GK,Toulouse,Ligue 1,18,2005,34,16,11,12,59,0,0,0,0,0,0,0,0,0,0,0,0
2211,2211,Mateo Retegui (Genoa),ITA,FW,Genoa,Serie A,24,1999,24.6,63,32,54,0,85,91,81,0,71,55,70,0,87,0,0,0
2212,2212,Marco Reus (Dortmund),GER,"MF,FW",Dortmund,Bundesliga,34,1989,17.8,89,88,86,90,53,96,94,88,92,92,79,96,0,-80,97,96
2213,2213,Elvis Rexhbeçaj (Augsburg),GER,MF,Augsburg,Bundesliga,25,1997,22.1,74,48,75,74,70,73,81,0,35,38,40,0,0,0,0,0
2214,2214,Gio Reyna (Nott'ham Forest),USA,"FW,MF",Nott'ham Forest,Premier League,20,2002,2.6,40,93,41,59,53,0,0,69,51,96,40,90,0,0,0,0
2215,2215,Gio Reyna (Dortmund),USA,"MF,FW",Dortmund,Bundesliga,20,2002,3.1,59,99,56,0,70,73,71,69,51,94,59,0,0,0,0,0
2216,2216,Chadi Riad (Betis),MAR,DF,Betis,La Liga,20,2003,24,40,18,41,59,0,61,0,0,0,0,0,0,0,0,0,0
2217,2217,Alexsandro Ribeiro (Lille),BRA,DF,Lille,Ligue 1,23,1999,24.7,39,17,43,0,0,43,0,0,35,37,0,0,0,-80,0,0
2218,2218,Rodrigo Ribeiro (Nott'ham Forest),POR,"MF,FW",Nott'ham Forest,Premier League,18,2005,0.2,11,95,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2219,2219,Samuele Ricci (Torino),ITA,MF,Torino,Serie A,21,2001,26.6,89,66,89,91,70,81,87,0,85,70,70,0,87,-95,85,0
2220,2220,Declan Rice (Arsenal),ENG,MF,Arsenal,Premier League,24,1999,35.8,96,71,96,95,79,87,0,99,95,78,88,99,0,-80,0,0
2221,2221,Chris Richards (Crystal Palace),USA,"DF,MF",Crystal Palace,Premier League,23,2000,23.3,47,22,45,0,0,61,0,96,61,50,70,0,0,0,0,0
2222,2222,Amir Richardson (Reims),MAR,MF,Reims,Ligue 1,21,2002,15,63,49,66,0,0,81,0,69,35,40,40,0,0,0,0,0
2223,2223,Richarlison (Tottenham),BRA,FW,Tottenham,Premier League,26,1997,16.6,68,53,65,0,79,87,71,69,77,74,85,0,0,0,0,0
2224,2224,Marco Richter (Mainz 05),GER,"MF,FW",Mainz 05,Bundesliga,25,1997,8,62,83,51,86,70,87,71,0,35,50,0,90,0,0,0,0
2225,2225,Diego Rico (Getafe),ESP,DF,Getafe,La Liga,30,1993,28.2,86,56,87,93,0,43,81,69,82,62,88,0,0,0,0,0
2226,2226,Clemens Riedel (Darmstadt 98),GER,DF,Darmstadt 98,Bundesliga,20,2003,8.4,52,61,49,59,70,73,0,69,51,67,59,0,0,0,0,0
2227,2227,Fabian Rieder (Rennes),SUI,MF,Rennes,Ligue 1,21,2002,4.1,42,78,45,74,0,0,0,0,0,0,0,0,0,0,0,0
2228,2228,Jaïro Riedewald (Crystal Palace),NED,"MF,FW",Crystal Palace,Premier League,26,1996,2.6,11,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,2229,Manuel Riemann (Bochum),GER,GK,Bochum,Bundesliga,34,1988,33,63,26,62,91,0,0,0,0,61,43,59,90,0,0,0,0
2230,2230,Luis Rioja (Alavés),ESP,"FW,MF",Alavés,La Liga,29,1993,27.8,93,73,92,95,89,73,71,0,85,68,88,90,0,0,0,0
2231,2231,Rémy Riou (Lyon),FRA,GK,Lyon,Ligue 1,35,1987,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,2232,Rodrigo Riquelme (Atlético Madrid),ESP,"DF,MF",Atlético Madrid,La Liga,23,2000,17,86,84,87,89,89,61,53,0,94,94,88,96,96,0,85,0
2233,2233,Alberto Risco (Getafe),ESP,MF,Getafe,La Liga,17,2005,1.5,33,95,36,0,53,0,0,0,0,0,0,0,0,0,0,0
2234,2234,Mihailo Ristić (Celta Vigo),SRB,"DF,MF",Celta Vigo,La Liga,27,1995,9,52,57,45,84,70,0,71,69,0,0,0,0,0,0,0,0
2235,2235,Matt Ritchie (Newcastle Utd),SCO,"FW,MF",Newcastle Utd,Premier League,33,1989,1.4,20,54,24,0,0,0,0,0,35,95,40,0,0,0,0,0
2236,2236,Gorka Rivera Alonso (Getafe),ESP,DF,Getafe,La Liga,18,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2237,2237,Sergi Roberto (Barcelona),ESP,"MF,DF",Barcelona,La Liga,31,1992,9.6,58,65,62,0,53,43,0,69,61,76,70,0,0,0,0,0
2238,2238,Lucas Robertone (Almería),ARG,MF,Almería,La Liga,26,1997,26.5,91,72,93,86,70,87,53,98,85,70,91,0,0,0,0,0
2239,2239,Connor Roberts (Burnley),WAL,DF,Burnley,Premier League,27,1995,9.1,49,50,49,86,0,0,0,0,61,78,70,0,0,0,0,0
2240,2240,Andrew Robertson (Liverpool),SCO,DF,Liverpool,Premier League,29,1994,18.8,95,95,94,99,53,0,53,0,77,71,70,96,0,0,0,0
2241,2241,Antonee Robinson (Fulham),USA,DF,Fulham,Premier League,25,1997,36.3,89,49,94,74,70,0,53,69,85,60,91,0,0,0,0,0
2242,2242,Jack Robinson (Sheffield Utd),ENG,DF,Sheffield Utd,Premier League,29,1993,32.1,56,23,47,90,0,73,0,69,35,35,0,90,0,0,0,0
2243,2243,Marc Roca (Betis),ESP,MF,Betis,La Liga,26,1996,22,85,68,89,81,70,0,81,88,61,52,70,0,0,0,0,0
2244,2244,Sebastian Rode (Eint Frankfurt),GER,MF,Eint Frankfurt,Bundesliga,32,1990,0.7,20,92,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2245,2245,Sergio Rodelas (Granada),ESP,"FW,DF",Granada,La Liga,18,2004,1.4,28,92,24,59,0,0,53,69,35,96,40,0,0,0,0,0
2246,2246,Rodri (Manchester City),ESP,MF,Manchester City,Premier League,27,1996,32.6,99,94,100,74,95,87,94,100,100,95,100,0,99,-80,85,96
2247,2247,Rodri (Betis),ESP,"FW,MF",Betis,La Liga,23,2000,11.7,68,72,66,59,79,61,81,0,0,0,0,0,0,0,0,0
2248,2248,Óscar Rodríguez Arnaiz (Getafe),ESP,"MF,FW",Getafe,La Liga,25,1998,10.7,80,93,80,86,85,61,53,0,71,81,70,0,87,0,0,0
2249,2249,Damián Rodríguez (Celta Vigo),ESP,MF,Celta Vigo,La Liga,20,2003,2.9,33,71,36,59,0,0,0,0,61,99,70,0,0,0,0,0
2250,2250,Dani Rodríguez (Mallorca),ESP,MF,Mallorca,La Liga,35,1988,29.1,96,82,91,99,53,81,71,0,90,76,70,99,0,-80,0,0
2251,2251,Guido Rodríguez (Betis),ARG,MF,Betis,La Liga,29,1994,20.5,58,32,57,59,0,81,0,69,82,73,79,0,0,-95,0,0
2252,2252,Jay Rodriguez (Burnley),ENG,FW,Burnley,Premier League,34,1989,9.1,42,37,36,0,70,81,0,0,35,46,40,0,0,0,0,0
2253,2253,Kirian Rodríguez (Las Palmas),ESP,MF,Las Palmas,La Liga,27,1996,35.7,92,55,97,0,53,61,53,0,90,68,95,0,0,0,0,0
2254,2254,Miguel Rodríguez (Celta Vigo),ESP,MF,Celta Vigo,La Liga,20,2003,3.3,28,46,27,0,0,0,71,0,0,0,0,0,0,0,0,0
2255,2255,Ricardo Rodríguez (Torino),SUI,DF,Torino,Serie A,30,1992,30.8,80,41,84,86,53,43,53,0,61,45,70,0,0,0,0,0
2256,2256,Rodrygo (Real Madrid),BRA,FW,Real Madrid,La Liga,22,2001,26.4,97,90,96,86,100,91,91,88,97,91,91,0,100,-80,0,96
2257,2257,Mads Roerslev (Brentford),DEN,DF,Brentford,Premier League,24,1999,22.1,68,38,73,0,79,0,0,69,61,52,70,0,0,0,0,0
2258,2258,Rogério (Wolfsburg),BRA,DF,Wolfsburg,Bundesliga,25,1998,10.1,51,48,54,0,70,0,53,0,35,45,40,0,0,0,0,0
2259,2259,Morgan Rogers (Aston Villa),ENG,"MF,FW",Aston Villa,Premier League,21,2002,7.1,56,79,57,0,79,0,71,0,71,92,59,0,87,0,85,0
2260,2260,Merlin Röhl (Freiburg),GER,"MF,FW",Freiburg,Bundesliga,21,2002,16.4,77,70,79,0,79,87,71,0,82,81,79,0,87,-80,0,0
2261,2261,Alessio Romagnoli (Lazio),ITA,DF,Lazio,Serie A,28,1995,26.8,40,17,45,0,0,43,0,0,35,37,40,0,0,0,0,0
2262,2262,Simone Romagnoli (Frosinone),ITA,DF,Frosinone,Serie A,33,1990,30.2,33,15,36,59,0,0,0,0,35,35,40,0,0,0,0,0
2263,2263,Carlos Romero (Villarreal),ESP,DF,Villarreal,La Liga,21,2001,2.9,11,16,12,0,0,0,0,0,35,78,40,0,0,0,0,0
2264,2264,Cristian Romero (Tottenham),ARG,DF,Tottenham,Premier League,25,1998,31,69,31,72,74,0,73,0,88,51,39,40,0,0,-80,0,0
2265,2265,Luka Romero (Milan),ARG,"FW,MF",Milan,Serie A,18,2004,1,16,52,0,0,0,0,71,0,0,0,0,0,0,0,0,0
2266,2266,Luka Romero (Almería),ARG,FW,Almería,La Liga,18,2004,4.9,38,53,33,0,70,43,53,0,71,97,59,0,87,-80,0,0
2267,2267,Oriol Romeu (Barcelona),ESP,MF,Barcelona,La Liga,31,1991,10.4,48,42,49,0,53,73,0,0,51,60,59,0,0,0,0,0
2268,2268,Valentin Rongier (Marseille),FRA,MF,Marseille,Ligue 1,28,1994,9.5,62,74,67,0,70,0,0,69,35,46,40,0,0,0,0,0
2269,2269,Frank Ronstadt (Darmstadt 98),GER,"DF,MF",Darmstadt 98,Bundesliga,26,1997,0.8,20,83,19,0,0,0,53,0,0,0,0,0,0,0,0,0
2270,2270,Marten de Roon (Atalanta),NED,"MF,DF",Atalanta,Serie A,32,1991,28.9,83,48,85,86,0,61,71,88,85,67,91,0,0,0,0,0
2271,2271,Unai Ropero (Alavés),ESP,MF,Alavés,La Liga,21,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2272,2272,Vitor Roque (Barcelona),BRA,FW,Barcelona,La Liga,18,2005,3.6,23,31,12,0,53,61,0,0,35,71,0,0,0,-80,0,0
2273,2273,Pablo Rosario (Nice),NED,"MF,DF",Nice,Ligue 1,26,1997,22.3,72,45,78,59,0,43,71,69,77,64,59,0,0,-80,97,0
2274,2274,Valentin Rosier (Nice),FRA,"DF,MF",Nice,Ligue 1,26,1996,0.6,23,98,12,59,0,43,53,0,0,0,0,0,0,0,0,0
2275,2275,Francesco Rossi (Atalanta),ITA,GK,Atalanta,Serie A,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2276,2276,Joe Rothwell (Bournemouth),ENG,MF,Bournemouth,Premier League,28,1995,4.3,40,71,33,81,53,43,53,0,35,65,40,0,0,0,0,0
2277,2277,Anthony Rouault (Stuttgart),FRA,DF,Stuttgart,Bundesliga,22,2001,11.2,49,41,57,0,0,0,0,0,71,80,79,0,0,0,0,0
2278,2278,Jérôme Roussillon (Union Berlin),FRA,DF,Union Berlin,Bundesliga,30,1993,8.4,52,61,51,0,70,43,53,88,51,67,59,0,0,0,0,0
2279,2279,Nicolò Rovella (Lazio),ITA,MF,Lazio,Serie A,21,2001,14.6,55,38,54,74,53,0,53,88,71,71,79,0,0,0,0,0
2280,2280,Amir Rrahmani (Napoli),KVX,DF,Napoli,Serie A,29,1994,28.9,76,38,78,0,53,81,53,96,77,57,85,0,0,0,0,0
2281,2281,Ruan (Sassuolo),BRA,DF,Sassuolo,Serie A,24,1999,16.8,35,19,36,0,0,0,53,69,51,49,40,0,0,0,85,0
2282,2282,Pelly Ruddock Mpanzu (Luton Town),COD,MF,Luton Town,Premier League,30,1993,12.2,51,39,47,59,70,43,71,69,0,0,0,0,0,0,0,0
2283,2283,Antonio Rüdiger (Real Madrid),GER,DF,Real Madrid,La Liga,30,1993,30.1,54,23,54,0,0,87,0,0,77,57,79,0,0,-80,0,0
2284,2284,Fabian Rüdlin (Freiburg),GER,MF,Freiburg,Bundesliga,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2285,2285,Javier Rueda Garcia (Celta Vigo),ESP,"MF,DF",Celta Vigo,La Liga,21,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2286,2286,Daniele Rugani (Juventus),ITA,DF,Juventus,Serie A,29,1994,13.2,40,27,41,0,0,61,0,69,51,53,40,0,0,-80,0,0
2287,2287,Matteo Ruggeri (Atalanta),ITA,DF,Atalanta,Serie A,21,2002,27.2,87,60,92,84,70,43,0,69,94,84,95,96,0,0,0,0
2288,2288,Mário Rui (Napoli),POR,DF,Napoli,Serie A,32,1991,13.4,74,76,67,94,0,0,81,0,51,53,59,0,0,0,0,0
2289,2289,Aitor Ruibal (Betis),ESP,"DF,FW",Betis,La Liga,27,1996,11.3,68,73,70,59,70,43,53,69,61,71,70,0,0,0,0,0
2290,2290,Fabián Ruiz Peña (Paris S-G),ESP,MF,Paris S-G,Ligue 1,27,1996,13.3,73,75,76,59,89,61,0,0,82,87,79,90,87,0,0,0
2291,2291,Sergio Ruiz (Granada),ESP,MF,Granada,La Liga,28,1994,27.7,78,44,77,59,85,81,87,69,85,68,88,90,0,0,0,0
2292,2292,Julian Ryerson (Dortmund),NOR,DF,Dortmund,Bundesliga,25,1997,19.6,63,38,63,0,70,61,53,88,71,61,59,0,87,0,0,96
2293,2293,Frederik Rønnow (Union Berlin),DEN,GK,Union Berlin,Bundesliga,30,1992,33,23,12,12,74,0,43,0,0,0,0,0,0,0,0,0,0
2294,2294,José Sá (Wolves),POR,GK,Wolves,Premier League,30,1993,33.7,20,11,24,0,0,0,0,0,35,35,40,0,0,0,0,0
2295,2295,Youssouf Sabaly (Betis),SEN,DF,Betis,La Liga,30,1993,11.6,48,38,52,59,53,0,0,0,61,70,59,90,0,0,0,0
2296,2296,Emmanuel Sabbi (Le Havre),USA,"FW,MF",Le Havre,Ligue 1,25,1997,17.6,76,64,69,59,89,87,97,0,82,78,70,0,87,-80,85,0
2297,2297,Stefano Sabelli (Genoa),ITA,DF,Genoa,Serie A,30,1993,27,85,56,86,86,70,61,91,69,51,40,59,0,0,0,0,0
2298,2298,Marcel Sabitzer (Dortmund),AUT,MF,Dortmund,Bundesliga,29,1994,21.8,89,78,91,89,85,87,71,0,90,84,93,0,0,0,85,0
2299,2299,Falaye Sacko (Montpellier),MLI,DF,Montpellier,Ligue 1,28,1995,15.4,61,45,65,59,0,0,71,69,71,70,79,0,0,0,0,0
2300,2300,Dominic Sadi (Bournemouth),ENG,FW,Bournemouth,Premier League,19,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2301,2301,Umar Sadiq (Real Sociedad),NGA,FW,Real Sociedad,La Liga,26,1997,12,56,49,43,0,92,81,71,69,51,57,40,0,87,0,0,0
2302,2302,Alexis Saelemaekers (Bologna),BEL,"FW,MF",Bologna,Serie A,24,1999,21,94,89,90,96,92,87,87,0,92,88,88,0,87,-80,97,0
2303,2303,Modibo Sagnan (Montpellier),MLI,DF,Montpellier,Ligue 1,24,1999,11.7,33,22,36,0,0,0,0,69,35,43,40,0,0,0,0,0
2304,2304,Wesley Saïd (Lens),FRA,"FW,MF",Lens,Ligue 1,28,1995,11.3,72,81,67,0,85,87,71,88,77,86,40,0,96,-80,85,0
2305,2305,Théo Sainte-Luce (Montpellier),FRA,DF,Montpellier,Ligue 1,24,1998,3.8,20,24,0,59,0,0,53,69,0,0,0,0,0,0,0,0
2306,2306,Bukayo Saka (Arsenal),ENG,FW,Arsenal,Premier League,21,2001,32.4,100,97,100,98,97,97,87,88,99,94,100,96,87,-80,85,0
2307,2307,Mamadou Sakho (Montpellier),FRA,DF,Montpellier,Ligue 1,33,1990,0.1,11,99,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,2308,Ibrahim Salah (Rennes),MAR,"FW,MF",Rennes,Ligue 1,21,2001,5.8,48,74,49,0,53,73,0,0,35,57,40,0,0,0,0,0
2309,2309,Mohamed Salah (Liverpool),EGY,FW,Liverpool,Premier League,31,1992,28.2,99,94,99,74,94,100,91,69,99,95,99,0,96,-99,85,0
2310,2310,Amine Salama (Reims),FRA,FW,Reims,Ligue 1,23,2000,3.5,33,59,36,0,0,43,0,0,0,0,0,0,0,0,0,0
2311,2311,Kike Salas (Sevilla),ESP,DF,Sevilla,La Liga,21,2002,17.8,42,23,41,59,0,43,53,69,0,0,0,0,0,0,0,0
2312,2312,William Saliba (Arsenal),FRA,DF,Arsenal,Premier League,22,2001,38,63,24,69,0,53,61,0,0,61,42,70,0,0,0,0,0
2313,2313,Mohammed Salisu (Monaco),GHA,DF,Monaco,Ligue 1,24,1999,11.5,38,26,41,0,0,0,0,69,51,57,59,0,0,0,0,0
2314,2314,Roland Sallai (Freiburg),HUN,"MF,FW",Freiburg,Bundesliga,26,1997,20.4,89,81,90,0,70,99,91,0,92,89,85,0,0,-99,97,0
2315,2315,Yoann Salmier (Le Havre),GUF,DF,Le Havre,Ligue 1,30,1992,17.4,48,29,52,59,0,43,0,0,61,57,59,0,0,-80,0,0
2316,2316,Salvi (Rayo Vallecano),ESP,MF,Rayo Vallecano,La Liga,32,1991,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2317,2317,Lazar Samardzic (Udinese),SRB,MF,Udinese,Serie A,21,2002,26.4,98,93,94,99,99,91,71,88,82,65,40,90,99,-80,0,0
2318,2318,Diadie Samassékou (Cádiz),MLI,MF,Cádiz,La Liga,27,1996,1,20,74,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2319,2319,Diadie Samassékou (Hoffenheim),MLI,MF,Hoffenheim,Bundesliga,27,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2320,2320,Mama Samba Baldé (Lyon),GNB,"FW,MF",Lyon,Ligue 1,27,1995,6.1,54,82,49,0,89,61,53,0,85,99,70,0,99,0,0,0
2321,2321,Brice Samba (Lens),FRA,GK,Lens,Ligue 1,29,1994,33,33,14,36,59,0,0,0,0,35,35,40,0,0,0,0,0
2322,2322,Albert Sambi Lokonga (Luton Town),BEL,MF,Luton Town,Premier League,23,1999,14.5,61,48,63,0,0,43,81,69,61,62,70,0,0,0,0,0
2323,2323,Junior Sambia (Salernitana),FRA,"DF,MF",Salernitana,Serie A,26,1996,11.5,61,61,57,84,53,73,53,0,71,79,59,96,0,0,0,0
2324,2324,Fede San Emeterio (Cádiz),ESP,MF,Cádiz,La Liga,26,1997,1.7,16,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2325,2325,Antonio Sanabria (Torino),PAR,"FW,MF",Torino,Serie A,27,1996,23.7,72,41,73,0,53,94,53,0,61,50,59,0,0,-80,0,0
2326,2326,Oihan Sancet (Athletic Club),ESP,MF,Athletic Club,La Liga,23,2000,21.9,94,87,96,0,92,91,87,0,90,84,93,0,0,-80,0,0
2327,2327,Renato Sanches (Roma),POR,MF,Roma,Serie A,25,1997,1.6,28,85,33,0,0,0,0,0,35,94,40,0,0,0,0,0
2328,2328,Ricard Sánchez (Granada),ESP,DF,Granada,La Liga,23,2000,25.5,75,42,83,74,0,0,0,0,35,37,40,0,0,0,0,0
2329,2329,Alexis Sánchez (Inter),CHI,"FW,MF",Inter,Serie A,34,1988,8.5,69,90,72,81,53,43,53,69,88,98,88,96,0,0,0,0
2330,2330,Antonio Sánchez (Mallorca),ESP,MF,Mallorca,La Liga,26,1997,16.1,68,53,66,0,70,61,81,88,51,49,59,0,0,0,0,0
2331,2331,Davinson Sánchez (Tottenham),COL,DF,Tottenham,Premier League,27,1996,0.9,11,32,0,0,0,43,0,0,0,0,0,0,0,0,0,0
2332,2332,Juanlu Sánchez (Sevilla),ESP,DF,Sevilla,La Liga,19,2003,13.1,69,68,75,0,79,0,53,0,61,65,70,0,0,0,0,0
2333,2333,Manu Sánchez (Celta Vigo),ESP,"DF,MF",Celta Vigo,La Liga,22,2000,19.7,74,54,79,0,85,61,0,0,82,74,88,0,0,0,0,0
2334,2334,Robert Sánchez (Chelsea),ESP,GK,Chelsea,Premier League,25,1997,15.9,16,12,12,59,0,0,0,0,0,0,0,0,0,0,0,0
2335,2335,Jadon Sancho (Manchester Utd),ENG,"FW,MF",Manchester Utd,Premier League,23,2000,0.9,23,93,12,59,0,0,53,69,35,99,0,90,0,0,0,0
2336,2336,Jadon Sancho (Dortmund),ENG,"FW,MF",Dortmund,Bundesliga,23,2000,10.5,81,94,80,86,94,43,71,0,82,92,59,0,96,0,97,0
2337,2337,Alex Sandro (Juventus),BRA,DF,Juventus,Serie A,32,1991,8,44,45,41,0,0,61,53,88,35,49,0,0,0,0,85,0
2338,2338,Ibou Sané (Metz),SEN,"MF,FW",Metz,Ligue 1,18,2005,1.4,16,36,12,0,53,0,0,0,0,0,0,0,0,0,0,0
2339,2339,Leroy Sané (Bayern Munich),GER,FW,Bayern Munich,Bundesliga,27,1996,23.7,99,97,99,97,97,94,91,69,99,96,98,98,87,-80,0,96
2340,2340,Sadibou Sané (Metz),SEN,DF,Metz,Ligue 1,19,2004,9.4,26,19,27,0,0,0,53,0,0,0,0,0,0,0,0,0
2341,2341,Arouna Sangante (Le Havre),SEN,DF,Le Havre,Ligue 1,21,2002,29.9,72,34,72,84,0,0,81,98,71,50,59,0,0,0,85,96
2342,2342,Ibrahim Sangaré (Nott'ham Forest),CIV,MF,Nott'ham Forest,Premier League,25,1997,11.5,49,40,52,0,0,43,53,69,51,57,59,0,0,0,0,0
2343,2343,Morgan Sanson (Nice),FRA,MF,Nice,Ligue 1,28,1994,21.8,91,82,86,97,70,87,53,69,77,65,70,90,0,0,0,96
2344,2344,Nicola Sansone (Lecce),ITA,"FW,MF",Lecce,Serie A,31,1991,8.5,76,95,73,86,85,61,71,88,61,79,59,0,87,0,0,0
2345,2345,Baptiste Santamaria (Rennes),FRA,MF,Rennes,Ligue 1,28,1995,21.4,79,58,82,59,53,73,53,96,61,52,59,0,0,-80,0,0
2346,2346,Jesús Santiago (Getafe),ESP,MF,Getafe,La Liga,19,2004,7.3,40,42,41,0,0,43,71,0,0,0,0,0,0,0,0,0
2347,2347,Andrey Santos (Nott'ham Forest),BRA,MF,Nott'ham Forest,Premier League,19,2004,0.1,16,100,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2348,2348,Andrey Santos (Strasbourg),BRA,MF,Strasbourg,Ligue 1,19,2004,9.2,51,53,51,0,79,43,53,0,0,0,0,0,0,0,0,0
2349,2349,Tiago Santos (Lille),POR,DF,Lille,Ligue 1,21,2002,26.3,89,66,87,84,94,0,99,69,82,65,79,90,87,0,0,0
2350,2350,Paco Sanz (Almería),ESP,DF,Almería,La Liga,18,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2351,2351,Riccardo Saponara (Hellas Verona),ITA,"FW,MF",Hellas Verona,Serie A,31,1991,3.8,31,47,33,0,0,0,53,0,35,70,40,0,0,0,0,0
