Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
126,126,Ronald Araújo (Barcelona),URU,DF,Barcelona,La Liga,24,1999,22.2,92,88,92,94,47,73,92,49,58,88,33,12,94,93,96,68,58,49,53,40,94,40
127,127,Oliver Arblaster (Sheffield Utd),ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,47,57,53,59,47,27,47,69,80,86,54,16,44,44,43,50,54,58,51,55,44,27
128,128,Cameron Archer (Sheffield Utd),ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,47,39,37,46,78,89,47,91,93,53,91,57,50,56,54,77,80,93,96,97,50,86
129,129,Cameron Archer (Aston Villa),ENG,MF,Aston Villa,Premier League,22,2001,0.1,4,0,3,8,12,0,4,0,0,0,0,0,5,7,9,17,18,0,13,0,6,0
130,130,Alphonse Areola (West Ham),FRA,GK,West Ham,Premier League,30,1993,30,67,98,95,12,0,0,67,16,21,93,0,0,63,69,77,0,18,0,0,0,46,0
131,131,Adu Ares (Athletic Club),ESP,FW,Athletic Club,La Liga,21,2001,2.9,24,10,22,29,42,32,24,68,76,80,57,21,26,34,32,50,29,68,39,40,26,62
132,132,Jesús Areso (Osasuna),ESP,DF,Osasuna,La Liga,24,1999,29.6,89,79,77,84,96,62,89,95,97,68,94,44,79,83,84,95,96,79,92,87,83,96
133,133,Simone Aresti (Cagliari),ITA,GK,Cagliari,Serie A,37,1986,0,1,15,6,0,0,0,1,0,0,0,0,0,1,4,6,0,0,0,0,0,0,0
134,134,Matias Arezo (Granada),URU,FW,Granada,La Liga,20,2002,4.1,23,24,18,30,34,43,23,16,21,93,0,0,19,20,23,34,29,64,34,40,22,46
135,135,Iñigo Arguibide (Osasuna),ESP,DF,Osasuna,La Liga,18,2005,0.2,4,0,9,7,9,0,4,0,0,0,0,0,1,2,0,0,0,0,13,0,1,0
136,136,Yoël Armougom (Clermont Foot),FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,24,24,24,30,36,16,24,27,21,18,23,25,27,28,32,34,36,0,20,0,25,53
